Elements missing Wood Saxon Parameters up to Californium (Cf) (Note: Isotopes not included)

Scandium (Sc)
Gallium (Ga)
Arsenic (As)
Selenium (Se)
Bromine (Br)
Krypton (Kr)
Rubidium (Rb)
Technetium (Tc)
Ruthenium (Ru)
Rhodium (Rh)
Silver (Ag)
Tellurium (Te)
Iodine (I)
Xenon (Xe)
Caesium (Cs)
Cerium (Ce)
Praseodymium (Pr)
Europium (Eu)
Terbium (Tb)
Dysprosium (Dy)
Thulium (Tm)
Halfnium (Hf)
Rhenium (Re)
Iridium (Ir)
Mercury (Hg)
Polonium (Po)
Astatine (At)
Radon (Rn)
Francium (Fr)
Radium (Ra)
Actinium (Ac)
Protactinium (Pa)
Neptunium (Np)
Plutonium (Pu)
Americium (Am)
Curium (Cm)
Berkelium (Bk)
Californium (Cf)
