Nucleus	Model	<r2>1/2 [fm]	c or a [fm]	z or ? [fm]	w	q-range	reference
n	N/A	0.3359	N/A	N/A	N/A	0	Kr73
1H	MI	0.95	N/A	N/A	N/A	.33-1.42	Th72
1H	MI	0.84	N/A	N/A	N/A	.36-11.5	Ho76
1H	MI	0.862	N/A	N/A	N/A	.36-1.18	Si80
2H	MI	2.095	N/A	N/A	N/A	.22-.71	
2H	MI	2.116	N/A	N/A	N/A	.21-.77	
3H	FB	1.68	N/A	N/A	N/A	.51-2.83	
3H	SOG	1.76	N/A	N/A	N/A	.55-4.79	
3He	SOG	1.844	N/A	N/A	N/A	.59-4.47	
3He	FB	1.877	N/A	N/A	N/A	.18-10.1	
3He	MI	1.976	N/A	N/A	N/A	.45-1.92	
4He	MI	1.696	N/A	N/A	N/A		
4He	SOG	1.676	N/A	N/A	N/A		
4He	MI	1.671	N/A	N/A	N/A		
6Li	MHO	2.54	N/A	N/A	N/A		
6Li	MHO	2.56	N/A	N/A	N/A		
6Li	MI	2.57	N/A	N/A	N/A		
7Li	HO	2.39	1.77	0.327	N/A	.69-2.62	Su67
7Li	MI	2.41	N/A	N/A	N/A	.09-.9	Bu72
9Be	HO	2.519	1.791	0.611	N/A	.26-.70	Ja72
9Be	HO	2.5	1.77	0.631	N/A	.15-.53	Fe73a
10B	HO	2.45	1.71	0.837	N/A	.69-2.81	St66b
11B	HO	2.42	1.69	0.811	N/A	.69-2.81	St66b
11B	N/A	2.37	N/A	N/A	N/A	.61-1.76	Ri71
12C	FB	2.472	N/A	N/A	N/A	.10-4.01	Ca80a
12C	SOG	2.471	N/A	N/A	N/A	.13-3.70	Si82
12C	FB	2.464	N/A	N/A	N/A	.25-2.75	Re82
13C	MHO	2.44	1.635	1.403	N/A	.3-3.4	He70a
14C	MHO	2.56	1.73	1.38	N/A	1.04-2.16	K173
14N	HO	2.58	1.76	1.234	N/A	.86-1.62	Da70
14N	HO	2.54	1.729	1.291	N/A	.29-.48	Sc75
14N	3pF	2.524	2.57	0.5052	-0.18	.38-2.91	La82
15N	MHO	2.65	1.81	1.25		.86-1.62	Da70
15N	3pF	2.7	2.334	0.498	0.139	.87-2.61	Ge72
15N	FB	2.611	N/A	N/A	N/A	.22-3.17	Vr86
16O	3pF	2.73	2.608	0.513	-0.051	1.05-3.97	Si70b
16O	HO	2.718	21.833	1.544	N/A	.29-.48	Sc75
16O	FB	2.737	N/A	N/A	N/A	.38-2.85	La82
17O	HO	2.662	1.798	1.498	N/A	.58-.99	Si70a
18O	HO	2.272	1.841	1.513	N/A	.58-.99	Si70a
19F	2pF	2.9	2.59	0.564	N/A	.55-1.01	Ha73b
19F	2pF	2.9	2.58	0.567	N/A	.46-1.79	Oy75
20Ne	2pF	3.04	2.805	0.571	N/A	.22-1.04	Mo71
20Ne	2pF	3.004	2.74	0.572	N/A	.21-1.12	Kn81
20Ne	3pF	2.992	2.791	0.698	-0.168		
22Ne	2pF	2.969	2.782	0.549	N/A		
23Na	UG	2.94	N/A	N/A	N/A		
24Mg	3pF	3.075	3.108	0.607	-0.163		
24Mg	3pF	2.985	3.192	0.604	-0.249		
24Mg	2pF	3.08	2.98	0.551	N/A		
25Mg	2pF	3.11	2.76	0.608	N/A		
25Mg	3pF	3.003	3.22	0.58	-0.236		
26Mg	2pF	3.065	3.05	0.523	N/A		
27Al	2pF	3.06	3.07	0.519	N/A		
27Al	2pF	3.05	2.84	0.569	N/A		
27Al	FB	3.035	N/A	N/A	N/A		
28Si	3pG	3.106	1.95	2.076	0.286		
28Si	2pF	3.15	3.14	0.537	N/A		
28Si	3pF	3.086	3.34	0.58	-0.233		
29Si	2pF	3.13	3.17	0.52	N/A		
29Si	3pF	3.079	3.338	0.547	-0.203		
30Si	3pF	3.176	3.252	0.553	-0.078		
31p	3pF	3.19	3.369	0.582	-0.173		
31p	FB	3.187	N/A	N/A	N/A		
31p	FB	3.187	N/A	N/A	N/A		
32S	3pG	3.239	2.54	2.191	0.16		
32S	FB	3.24	N/A	N/A	N/A		
32S	FB	3.248	N/A	N/A	N/A		
